TextFile,Disallowed Action,Label
2060-current.txt,Auto-dialing; trunking; traffic pumping,Auto-dialing
2060-current.txt,Exploit or harm minors,Exploit minors
2060-current.txt,Interfere; transmit viruses,Transmit viruses
2060-current.txt,Objectionable or Misleading activity,Misleading activity
165-current.txt,Breach any applicable law,Breach Law
165-current.txt,Unlawful or fraudulent purpose,Unlawful/Fraudulent
165-current.txt,Harm minors,Harm Minors
165-current.txt,Non-compliant material,Non-Compliant
165-current.txt,Unsolicited/unauthorised advertising,Unsolicited Advertising
165-current.txt,Transmit viruses/malware,Transmit Malware
165-current.txt,Reproduce/duplicate/copy/re-sell,Duplicate/Re-Sell
9999-current.txt,Store,"publish or use unlawful content,Unlawful Content"
9999-current.txt,Impede the prosecution of unlawful content,Impede Prosecution
9999-current.txt,Circumvent user authentication,Circumvent Authentication
9999-current.txt,Compromise security of server/network,Compromise Security
9999-current.txt,Disturb operation of servers/networks,Disturb Operation
9999-current.txt,Fail to keep applications/software up to date,Fail to Update
057-current.txt,Use of software applications or frameworks without Host's express written consent,Unauthorized Software
107-current.txt,Engaging in illegal activity,Illegal Activity
107-current.txt,Engaging in harmful or offensive activities,Harmful Activity
107-current.txt,Engaging in activities that interfere with the Service,Interference
197-current.txt,Breach applicable law,Breach Law
197-current.txt,Unlawful or fraudulent purpose,Unlawful Fraud
197-current.txt,Harm minors,Harm Minors
197-current.txt,Content standards violation,Content Violation
197-current.txt,Spam,Spam
197-current.txt,Virus transmission,Virus Transmission
144-current.txt,Engage in illegal activities,Illegal Activity
144-current.txt,Transmit or store material that is infringing,Infringing
144-current.txt,Transmit or store material that is obscene,Obscene
144-current.txt,Transmit or store material that is libelous,Libelous
144-current.txt,Transmit or store material that is defamatory,Defamatory
144-current.txt,Transmit or store material that is harassing,Harassing
144-current.txt,Transmit or store material that is threatening,Threatening
144-current.txt,Transmit or store material that is abusive,Abusive
144-current.txt,Transmit or store material that is hateful,Hateful
144-current.txt,Transmit or store material that is harmful to minors,Harmful to Minors
7705-current.txt,Breaching applicable law,Breaching Law
7705-current.txt,Unlawful or fraudulent purposes,Fraudulent
7705-current.txt,Harming minors,Harming Minors
7705-current.txt,Content standards violation,Content Standards
7705-current.txt,Unsolicited/unauthorised advertising,Unauthorised Advertising
7705-current.txt,Transmitting viruses,Transmitting Viruses
7705-current.txt,Reproducing/duplicating/copying/re-selling,Duplicating
1145-current.txt,Share on Twitter,Social Media
1145-current.txt,Edit this page,Unauthorized Editing
1145-current.txt,Open Web IDE,Unauthorized Access
1145-current.txt,Contribute to this page,Unauthorized Editing
1145-current.txt,Open in Web IDE,Unauthorized Access
1145-current.txt,Use of file sharing services other than Google Drive,Unauthorized Access
2661-current.txt,Use our Services in any way that breaches any applicable local,"national, or international law or regulation,Lawful Use"
2661-current.txt,Use our Services in any way that is unlawful or fraudulent,Unlawful Use
2661-current.txt,Harm minors,Harm Minors
2661-current.txt,Abusive or harmful content,Abusive Content
2661-current.txt,Unsolicited or unauthorised advertising,Spam
2661-current.txt,Dealing in harmful programs,Harmful Programs
2661-current.txt,Tax evasion,Tax Evasion
2661-current.txt,Adult content,Adult Content
2661-current.txt,Pornography,Pornography
2661-current.txt,Services of sexual nature,Sexual Services
2661-current.txt,Sexually oriented establishments,Sexual Establishments
2661-current.txt,Alcohol businesses,Alcohol Businesses
1350-current.txt,Sign In,Unauthorized Access
1350-current.txt,Buy Online or Call 1-800-WWW-DELL,Unauthorized Access
1350-current.txt,Violate Law,Illegal Activity
1350-current.txt,Abusive/Deceptive/Pornographic/Obscene/Defamatory/Slanderous/Offensive/Violent/Inappropriate,Misconduct
1350-current.txt,Infringe Rights,Infringement
1350-current.txt,Encourage Illegal Activity,Illegal Activity
1350-current.txt,Stalk/Harass/Harm,Misconduct
1350-current.txt,Impersonate/Misrepresent,Misconduct
1350-current.txt,Modify/Alter/Tamper,Unauthorized Access
1350-current.txt,Reverse Engineer/Disassemble/Decompile,Unauthorized Access
1350-current.txt,Avoid Fees/Exceed Usage Limits/Quotas,Unauthorized Access
1350-current.txt,Interfere/Disrupt,Unauthorized Access
1350-current.txt,High-Volume Automated Means,Unauthorized Access
1350-current.txt,Send Spam/Unsolicited Messages,Misconduct
1350-current.txt,Transmit Viruses/Worms/Defects/Trojan Horses,Misconduct
1350-current.txt,Gain Unauthorized Access,Unauthorized Access
1350-current.txt,Probe/Scan/Test Vulnerability,Unauthorized Access
1350-current.txt,Interfere with Service,Unauthorized Access
116-current.txt,Posting illegal content,Illegal content
116-current.txt,Misusing personal data,Misuse data
116-current.txt,Publishing offensive material,Offensive material
116-current.txt,Using the Site for commercial purposes,Commercial use
017-current.txt,Send unsolicited messages,SPAM
017-current.txt,Rent/lease/loan/sell access,Transfer rights
017-current.txt,Reverse engineer/assemble,Reverse engineer
152-current.txt,Use of resources for non-University purposes,Misuse of resources
0585-current.txt,Advertisement,Advertising
0585-current.txt,Report,Reporting
026-current.txt,Unauthorized access,Unauthorized Access
026-current.txt,Unauthorized use,Unauthorized Use
026-current.txt,Unauthorized distribution,Unauthorized Distribution
026-current.txt,Unauthorized modification,Unauthorized Modification
026-current.txt,Unauthorized disclosure,Unauthorized Disclosure
026-current.txt,Unauthorized disruption,Unauthorized Disruption
026-current.txt,Unauthorized monitoring,Unauthorized Monitoring
185-current.txt,Using services for unlawful purposes,Unlawful Use
3041-current.txt,Search,Unauthorized Access
3041-current.txt,Submit,Unauthorized Use
004-current.txt,Posting malicious content,Malicious content
004-current.txt,Posting content that infringes any third party intellectual property rights,Infringing IP
004-current.txt,Harassing or bullying other users,Harassment
9139-current.txt,Probe system or network,Security breach
9139-current.txt,Bypass security measures,Security breach
9139-current.txt,Tamper with non-public areas,Unauthorized access
9139-current.txt,Distribute malware,Malware
9139-current.txt,Overload system,System disruption
9139-current.txt,Flood system,System disruption
9139-current.txt,Mail-bomb,System disruption
9139-current.txt,Decompile or reverse engineer,Code tampering
9139-current.txt,Scrape or spider,Unauthorized access
9139-current.txt,Impose unreasonable load,System disruption
9139-current.txt,Provide password,Unauthorized access
9139-current.txt,Use another's username and password,Unauthorized access
9139-current.txt,Violate laws or regulations,Illegal activity
077-current.txt,Breaching applicable law,Illegal Activity
077-current.txt,Attempting to harm minors,Harm Minors
077-current.txt,Sending unsolicited material,Spam
077-current.txt,Transmitting viruses,Malicious Code
077-current.txt,Reproducing,Duplication
146-current.txt,Violating applicable laws,Unlawful Use
146-current.txt,Refusing service to anyone,Discrimination
146-current.txt,Removal of content,Content Removal
146-current.txt,Not responding to communication,Non-Responsive
0014-current.txt,Commit or assist criminal acts,Criminal acts
0014-current.txt,Send unsolicited information,Spam email
0043-current.txt,illegal or fraudulent activity,Illegal Activity
0043-current.txt,violate the rights of others,Rights Violation
0043-current.txt,threaten,"incite, promote, or actively encourage violence, terrorism, or other serious harm,Violent Promotion"
0043-current.txt,content or activity that promotes child sexual exploitation or abuse,Child Abuse
0043-current.txt,violate the security,"integrity, or availability of any user, network, computer or communications system, software application, or network or computing device,Security Violation"
0043-current.txt,distribute,"publish, send, or facilitate the sending of unsolicited mass email or other messages, promotions, advertising, or solicitations (or “spam”),Spam"
060-current.txt,Posting Malicious Code,Malicious Code
060-current.txt,Unauthorized access,Unauthorized Access
060-current.txt,Unauthorized use of Services,Unauthorized Use
060-current.txt,Unauthorized use of Content,Unauthorized Use
060-current.txt,Unauthorized use of Output,Unauthorized Use
060-current.txt,Unauthorized use of Documentation,Unauthorized Use
3839-current.txt,Breach applicable law,Breach law
3839-current.txt,Unlawful or fraudulent purpose,Unlawful fraud
3839-current.txt,Harm minors,Harm minors
3839-current.txt,Bully,"insult, intimidate,Bully"
3839-current.txt,Non-compliant material,Non-compliant
045-current.txt,Use Services in connection with illegal activities,Illegal Activities
045-current.txt,Content placed on our network contains illegal activities,Illegal Content
045-current.txt,Domain names registered contain illegal activities,Illegal Domain Names
221-current.txt,Violating copyright,Copyright violation
221-current.txt,Unauthorized access,Unauthorized access
221-current.txt,Unauthorized use,Unauthorized use
178-current.txt,breaches applicable law,Illegal Activity
178-current.txt,unlawful or fraudulent,Illegal Activity
178-current.txt,harm minors,Harm Minors
178-current.txt,bully,"insult, intimidate,Humiliate"
178-current.txt,transmit unsolicited or unauthorised advertising,Spam
7289-current.txt,Make calls or send texts in relation to the marketing,"promotion or administration of a business, group or organisation,Business Promotion"
7289-current.txt,Send bulk texts to a customer base,Business Promotion
7289-current.txt,Make an excessive number of calls to an unusually large number of recipients,Business Promotion
7289-current.txt,Generate artificially inflated traffic,Artificial Traffic
7289-current.txt,Send automated or unsolicited text messages,Unsolicited Texts
7289-current.txt,Send abnormally high volumes of texts,High Volume
7289-current.txt,Send texts to an unusually large number of recipients,High Volume
7289-current.txt,Send large volumes of texts in a short space of time,High Volume
7289-current.txt,Send SPAM texts,SPAM Texts
127-current.txt,fraudulent activity,Fraud
127-current.txt,breaching applicable law,Lawbreaking
127-current.txt,harm to a child,Harm to Child
127-current.txt,sending unsolicited content,Spam
127-current.txt,breaching terms of use,Breach of Terms
127-current.txt,introducing viruses,Malware
127-current.txt,unauthorized access,Unauthorized Access
127-current.txt,denial-of-service attack,DoS Attack
022-current.txt,uploading content that is offensive,Offensive Content
022-current.txt,making contact with other users that is offensive,Offensive Contact
022-current.txt,linking to our site from an inappropriate website,Inappropriate Linking
022-current.txt,interacting with our site in a fraudulent manner,Fraudulent Interaction
013-current.txt,Posting offensive or illegal content,Illegal Content
013-current.txt,Selling or trading user accounts,Account Trading
013-current.txt,Harassing other users,Harassment
2111-current.txt,skip to Main Navigation,Inappropriate Use
2111-current.txt,skip to Content,Inappropriate Use
2111-current.txt,any purpose stated in this Acceptable Use Policy as being not acceptable,Inappropriate Use
1028-current.txt,Compliance with Laws and Regulations,Violating laws
1028-current.txt,No Harmful Activities,Harmful activities
0040-current.txt,Providing inaccurate information,Misrepresentation
0040-current.txt,Unauthorized access,Unauthorized Access
0040-current.txt,Interfering with services,Interference
0040-current.txt,Duplicating resources,Duplication
0040-current.txt,Commercial activities,Commercial Activity
082-current.txt,Transmission or exchange of illegal material,Illegal material
082-current.txt,Transmission or exchange of offensive material,Offensive material
082-current.txt,Transmission or exchange of material in breach of copyright,Copyright breach
6236-current.txt,Security violations or network abuse,Security Abuse
6236-current.txt,Bypass security,Security Bypass
6236-current.txt,Security risk,Security Risk
6236-current.txt,Malicious attacks,Malicious Attack
6236-current.txt,Fake engagement,Fake Engagement
6236-current.txt,Infringement,Infringement
6236-current.txt,Harmful content,Harmful Content
1706-current.txt,Post unlawful material,Unlawful Posting
1706-current.txt,Transmit threatening material,Threatening Transmission
1706-current.txt,Distribute libelous material,Libelous Distribution
1706-current.txt,Encourage criminal conduct,Criminal Encouragement
1706-current.txt,Promote physical harm,Physical Harm Promotion
1706-current.txt,Impersonate a person,Impersonation
1706-current.txt,Solicit money,Money Solicitation
1706-current.txt,Contain a virus,Virus Containment
1893-current.txt,Navigation,Navigation
1893-current.txt,Exams,Exams
1893-current.txt,SuperCoaching,Super Coaching
1893-current.txt,Live Classes,Live Classes
1893-current.txt,Test Series,Test Series
1893-current.txt,Skill Academy,Skill Academy
1893-current.txt,Select Courses,Select Courses
1893-current.txt,Practice,Practice
1893-current.txt,Pass,Pass
1893-current.txt,Pass Pro,Pass Pro
1893-current.txt,GK & Current Affairs,GK & Current Affairs
1893-current.txt,Doubts,Doubts
1893-current.txt,Blog,Blog
1893-current.txt,Refer & Earn,Refer & Earn
1893-current.txt,Our Selections,Our Selections
1893-current.txt,Get Started,Get Started
1893-current.txt,English,English
1893-current.txt,Hindi,Hindi
1893-current.txt,Get Pass,Get Pass
1893-current.txt,Pro,Pro
1893-current.txt,Renew Pass Pro,Renew Pass Pro
1893-current.txt,Get Pass Pro,Get Pass Pro
1893-current.txt,Upgrade to Pass Pro,Upgrade Pass Pro
1893-current.txt,All Exams,All Exams
1893-current.txt,Careers,Careers
1893-current.txt,IAS Preparation,IAS Preparation
1893-current.txt,Current Affairs,Current Affairs
1893-current.txt,Get App,Get App
1893-current.txt,Acceptable Use Policy,Acceptable Use Policy
180-current.txt,Not enabling JavaScript,Not following instructions
7346-current.txt,Use the Foursquare Services to send spam,Use Spam
198-current.txt,Using unallocated IP Address,Unauthorized IP Use
198-current.txt,Violation of applicable laws,Illegal Activity
7094-current.txt,Illegal Use,Illegal
7094-current.txt,Spam,Spam
7094-current.txt,Identity Theft and Privacy,Identity Theft
7094-current.txt,Hate Content,"Defamation,Libel,Hate Content"
0354-current.txt,Illegal activity,Illegal
0354-current.txt,Fraudulent or illegal use,Fraudulent
0354-current.txt,Auto-dialing; trunking; traffic pumping,Auto-dialing
0354-current.txt,Exploit or harm minors,Harm minors
0354-current.txt,Interfere; transmit viruses,Transmit viruses
0354-current.txt,Objectionable or Misleading activity,Objectionable
129-current.txt,WIN  TWO VIP TICKETS TO PUB IN THE PARK 2023 – T&CS,Winning Tickets
129-current.txt,WIN A £100 VOUCHER FOR KERRIDGE’S BAR AND GRILL,Winning Voucher
129-current.txt,WIN A MEAL FOR 2 AT KERRIDGE’S FISH & CHIPS TERMS AND CONDITIONS,Winning Meal
129-current.txt,HOLLANDAISE SAUCE,Unauthorized Access
129-current.txt,Order Form,Unauthorized Access
129-current.txt,Payment,Unauthorized Access
129-current.txt,Your Saved Recipes,Unauthorized Access
129-current.txt,PIRATES ONLY,Unauthorized Access
129-current.txt,TOM IN THE COMMUNITY,Unauthorized Access
129-current.txt,WHAT’S NEW,Unauthorized Access
129-current.txt,FOOD AND DRINK INSPIRATION,Unauthorized Access
129-current.txt,PRODUCTS,Unauthorized Access
129-current.txt,TOM KERRIDGE IN THE COMMUNITY,Unauthorized Access
129-current.txt,EVENTS,Unauthorized Access
129-current.txt,THANK YOU,Unauthorized Access
129-current.txt,MY ACCOUNT,Unauthorized Access
129-current.txt,TOM’S RECIPE BOOKS,Unauthorized Access
129-current.txt,HOME,Unauthorized Access
129-current.txt,PIRATE SHIP PODCASTS,Unauthorized Access
129-current.txt,Privacy and Cookie Policy,Unauthorized Access
129-current.txt,MY FAVOURITE RECIPES,Unauthorized Access
129-current.txt,TOM’S RESTAURANTS,Unauthorized Access
129-current.txt,SIGNUP,Unauthorized Access
129-current.txt,Terms of Use,Unauthorized Access
129-current.txt,COOK-A-LONG VIDEOS,Unauthorized Access
129-current.txt,THANK YOU,Unauthorized Access
129-current.txt,SIGN IN/UP,Unauthorized Access
050-current.txt,Unauthorized use of company equipment,Unauthorized use
050-current.txt,Unauthorized access to company files,Unauthorized access
050-current.txt,Illegal activities,Illegal activities
050-current.txt,Using company equipment for personal gain,Personal gain
050-current.txt,Intentional damage to company systems,Intentional damage
115-current.txt,Visit or use Website/App without agreeing to the Acceptable Use Policy,Violate Policy
0586-current.txt,Using personal API keys for public-facing applications,Unauthorized use
8546-current.txt,Breaching applicable law,Illegal
8546-current.txt,Harming minors,Harmful
8546-current.txt,Content not complying with standards,Inappropriate
8546-current.txt,Transmitting unsolicited material,Spam
8546-current.txt,Transmitting data containing viruses,Malicious
8546-current.txt,Reproducing content,Duplication
8546-current.txt,Unauthorized access,Unauthorized
7081-current.txt,breach applicable law,Breach Law
7081-current.txt,fraudulent purpose,Fraudulent
7081-current.txt,harm anyone,Harm
7081-current.txt,non-compliant material,Non-Compliant
7081-current.txt,unsolicited advertising,Unsolicited Ad
0838-current.txt,Use in a way that is against applicable law,Illegal activity
0838-current.txt,Upload and distribute unlicensed software,Piracy
0838-current.txt,Access from embargoed country,Embargoed country
0838-current.txt,Threatening,Stalking
0838-current.txt,Invading privacy,Privacy invasion
0838-current.txt,Gain unauthorized access,Unauthorized access
0838-current.txt,Use to gain unauthorized access,Unauthorized access
0838-current.txt,Use automated process,Automated process
0301-current.txt,Downloading malicious software,Malicious Software
0301-current.txt,Using DWP systems for personal gain,Personal Gain
0301-current.txt,Unauthorised access to DWP systems,Unauthorised Access
2553-current.txt,Interfere with functionality,Interference
2553-current.txt,Violate privacy rights,Privacy violation
2553-current.txt,Upload malware,Malware upload
7287-current.txt,Sharing export-controlled information,Export control
9864-current.txt,apply cashback savings,Financial Transaction
9864-current.txt,harm minors,Harm Minors
9864-current.txt,send unsolicited/unauthorised advertising,Spam
3045-current.txt,use MoJ IT systems or services for any activities which are illegal,Illegal activities
3045-current.txt,use MoJ IT systems or services to access,"store, process or transmit inappropriate material,Inappropriate material"
1091-current.txt,Use of Service without agreement,Unauthorized use
1091-current.txt,Accessing Service without an account,Unauthorized use
1091-current.txt,Failure to comply with Policy,Non-compliance
3080-current.txt,Running servers,Unpermitted Server
3080-current.txt,Web servers,Web Server
3080-current.txt,SMTP,"POP, IMAP mail servers,Mail Server"
3080-current.txt,News servers,News Server
3080-current.txt,FTP servers,FTP Server
3080-current.txt,Games servers,Game Server
3080-current.txt,Media servers (e.g.Napster),Media Server
3080-current.txt,Streaming media servers,Streaming Media
3080-current.txt,Proxy servers,Proxy Server
3080-current.txt,Remote adminstration servers,Remote Admin
3080-current.txt,DNS servers,DNS Server
3080-current.txt,DHCP servers,DHCP Server
3080-current.txt,X servers,X Server
3080-current.txt,Telnet servers,Telnet Server
3080-current.txt,SSH servers,SSH Server
3080-current.txt,Print servers,Print Server
3080-current.txt,TFTP Servers,TFTP Server
3080-current.txt,Messaging servers,Messaging Server
3080-current.txt,MUD servers,MUD Server
3080-current.txt,ICQ servers,ICQ Server
3080-current.txt,Chat servers,Chat Server
3080-current.txt,IRC servers,IRC Server
3080-current.txt,Database servers,Database Server
3080-current.txt,File and Printer sharing (e.g.the Windows Networking service),File Sharing
5524-current.txt,Use of the Cricket Network and Services without agreement,Non-Compliance
5524-current.txt,Data Speeds exceeding 8 Mbps,Excessive Speed
5524-current.txt,Data access speeds exceeding 128 kbps,Excessive Speed
2510-current.txt,Transactions with illegal/fraudulent activity,Illegal/Fraudulent
2510-current.txt,Transactions involving gambling,Gambling
2510-current.txt,Transactions involving adult services,Adult Services
2510-current.txt,Transactions involving weapons or explosives,Weapons/Explosives
2510-current.txt,Transactions involving drug paraphernalia,Drug Paraphernalia
098-current.txt,Breach applicable law,Illegal
098-current.txt,Attempt to harm minors,Harm minors
098-current.txt,Send unsolicited or unauthorised material,Spam
098-current.txt,Transmit viruses,Malware
3352-current.txt,Offer goods or services that exploit or abuse children,Child exploitation
3352-current.txt,Promote or condone hate or violence,Hateful content
8628-current.txt,track visits to our website,Tracking Visitors
8628-current.txt,store any of your personal details,Storing Personal Details
0156-current.txt,Collectives™ on Stack Overflow,Illegal Use
0156-current.txt,Operating a phishing site,Illegal Use
0156-current.txt,Submitting spam,Spam
0156-current.txt,Identity Theft and Privacy,Identity Theft
153-2023.txt,Child exploitation,Exploitation
153-2023.txt,COVID-19,Non-Compliance
153-2023.txt,Harassment,Bullying
153-2023.txt,Defamation,Threats
153-2023.txt,Hateful content,Hate
128-2023.txt,Skipping content,"Ignoring policy,Data Transfer,Unauthorized data transfer"
70-2023.txt,Violation of AUP,Violation
70-2023.txt,Using services without agreeing to AUP,Unauthorized Use
166-2023.txt,Illegal Activities,Illegal
166-2023.txt,Harmful or Fraudulent Activities,Fraudulent
166-2023.txt,Infringing Content,Infringing
166-2023.txt,Offensive Content,Offensive
166-2023.txt,Harmful Content,Harmful
186-2023.txt,use the Services in violation of any applicable laws,Label
186-2023.txt,use the Services to commit fraud or other illegal activities,Illegal Activity
186-2023.txt,use the Services to distribute malware,Malware Distribution
41-2023.txt,Unlawful activities,Unlawful
41-2023.txt,Harmful to AT&T network,Harmful
41-2023.txt,Interferes with use of others' services,Interfering
41-2023.txt,Infringes intellectual property rights,Infringing
41-2023.txt,Publishes threatening/offensive material,Threatening
41-2023.txt,Spam/E-mail/Usenet abuse,Abuse
41-2023.txt,Security risk,Security Risk
41-2023.txt,Violation of privacy,Privacy Violation
11-2023.txt,Using our site unlawfully,Unlawful Use
11-2023.txt,Using our site fraudulently,Fraudulent Use
11-2023.txt,Harming minors,Harm Minors
11-2023.txt,Not complying with content standards,Content Standards
11-2023.txt,Transmitting spam,Spam
168-2023.txt,Creation or distribution of unsolicited bulk email and mailing lists,Spam
168-2023.txt,Creation of an account after being previously terminated by Linode without our prior written permission,Unauthorized Account Creation
168-2023.txt,Disruption or interference of any data system or network,"computer or communications system, software application, or network or computing device,System Interference"
168-2023.txt,Monitoring data or traffic on any network or system without the express authorization of the owner of the system or network,Unauthorized Monitoring
37-2023.txt,Attempt to access or search the Products,"App, or Site with any engine, software, tool, agent, device, or mechanism other than the software and/or search agents provided by DAT,Unauthorized Access"
131-2023.txt,be under 18,Underage
131-2023.txt,provide false information,Misrepresentation
131-2023.txt,refuse to provide Services,Refusal
131-2023.txt,suspend or close account,Suspension
27-2023.txt,In a manner that causes,"or may cause, damage to the website or impairment of the availability or accessibility of the website,Damage"
53-2023.txt,Accessing or using the Site without agreeing to the Policy,Non-Compliance
53-2023.txt,Submitting Content to the Site,Content Submission
53-2023.txt,Using the Site for any purpose other than its intended use,Misuse
54-2023.txt,Share on Twitter,Social Media
54-2023.txt,Edit this page,Editing
54-2023.txt,Open Web IDE,Software Access
54-2023.txt,Maintained by:,N/A
54-2023.txt,Contribute to this page,Editing
54-2023.txt,View source,Software Access
54-2023.txt,Open in Web IDE,Software Access
54-2023.txt,Use of file sharing services other than Google Drive,File Sharing
57-2023.txt,Use the Service for unlawful purposes,Unlawful use
20-2023.txt,Breaching applicable law,Breaching Law
20-2023.txt,Unlawful/fraudulent purpose,Unlawful/Fraud
20-2023.txt,Harming minors,Harm Minors
20-2023.txt,Transmitting spam,Spam
20-2023.txt,Reproducing content,Duplicate
20-2023.txt,Accessing without authority,Unauthorized Access
203-2023.txt,Skip main content,Navigation
203-2023.txt,Contact Us,Navigation
203-2023.txt,Email Sales,Communication
203-2023.txt,Sales Chat,Communication
205-2023.txt,violating any law,Illegal Activity
205-2023.txt,displaying,"performing, sending, receiving or storing any content that is obscene, inappropriate, offensive,Objectionable Content"
205-2023.txt,harassing any person,Harassment
205-2023.txt,infringing,"violating or misappropriating another's rights,Infringement"
205-2023.txt,obtaining unauthorized access,Unauthorized Access
205-2023.txt,distributing computer viruses or malware,Malware Distribution
205-2023.txt,sending,"receiving or supporting email messages that are unsolicited, deceptive, anonymous, excessively voluminous or that contain falsified identifying information,Spamming"
43-2023.txt,Use our Services in connection with any illegal activities,Illegal Activities
43-2023.txt,Content on our network contains prohibited content,Prohibited Content
43-2023.txt,Domain names registered with us contain illegal activities,Illegal Activities
93-2023.txt,Breaching applicable law,Illegal Activity
93-2023.txt,Attempting to harm minors,Harm Minors
93-2023.txt,Non-compliance with content standards,Content Standards
93-2023.txt,Transmitting unsolicited material,Spam
93-2023.txt,Transmitting harmful computer code,Malware
169-2023.txt,Use Services to violate applicable law,"rule or regulation,Violate Law"
116-2023.txt,Display Prohibited Materials,Infringement
116-2023.txt,Store Prohibited Materials,Infringement
116-2023.txt,Process Prohibited Materials,Infringement
116-2023.txt,Transmit Prohibited Materials,Infringement
116-2023.txt,Access Non-Public Areas,Unauthorized Access
116-2023.txt,Probe Alchemer Systems,Unauthorized Access
116-2023.txt,Interfere with Users,Disruption
116-2023.txt,Scrape the SaaS,Unauthorized Access
116-2023.txt,Send Unsolicited Communications,Spam
116-2023.txt,Send Altered Source Information,Spoofing
116-2023.txt,Decipher Software,Reverse Engineering
6-2023.txt,Breaches any applicable law,Breaching law
6-2023.txt,Unlawful or fraudulent,Unlawful Fraud
6-2023.txt,Harm minors,Harm minors
6-2023.txt,Non-compliance with content standards,Non-compliance
6-2023.txt,Transmit unsolicited or unauthorised advertising,Spam
6-2023.txt,Transmit viruses,Viruses
39-2023.txt,Provide false information,Misinformation
39-2023.txt,Maintain false information,Misinformation
39-2023.txt,Create multiple accounts,Multiple Accounts
47-2023.txt,Uploading malicious software,Malicious Software
47-2023.txt,Harassing or intimidating other users,Harassment/Intimidation
47-2023.txt,Collecting personal data without permission,Data Collection
50-2023.txt,Use Services in violation of applicable laws,Violate laws
22-2023.txt,Abuse,Abuse
22-2023.txt,Discrimination,Discrimination
22-2023.txt,Rights Infringement,Rights Infringement
22-2023.txt,Harm or Disadvantage,Harm
22-2023.txt,Unauthorized Use,Unauthorized Use
31-2023.txt,misuse of the Service,Misuse
31-2023.txt,unauthorized access,Unauthorized Access
31-2023.txt,non-commercial use,Non-Commercial Use
84-2023.txt,breaching applicable law,Illegal Activity
84-2023.txt,fraudulent activity,Illegal Activity
84-2023.txt,harming minors,Harm Minors
84-2023.txt,not complying with content standards,Content Standards
84-2023.txt,sending spam,Spam
84-2023.txt,transmitting viruses,Viruses
72-2023.txt,Update Browser,Outdated Browser
110-2023.txt,Cause damage to the Services,Damage
110-2023.txt,Be unlawful,"illegal, fraudulent or harmful,Illegal"
110-2023.txt,Infringe legal rights,Infringe
110-2023.txt,Give rise to legal action,Legal action
110-2023.txt,Be libellous or maliciously false,Libel
110-2023.txt,Be obscene or indecent,Obscene
110-2023.txt,Infringe intellectual property rights,Intellectual property
110-2023.txt,Infringe rights of confidence,Confidence
110-2023.txt,Depict violence,Violence
110-2023.txt,Be pornographic,Pornographic
110-2023.txt,Be untrue,"false, inaccurate or misleading,Misleading"
110-2023.txt,Cause illness,"injury or death,Harmful"
81-2023.txt,Contact sales,Misuse services
81-2023.txt,Log in,Misuse services
81-2023.txt,Free trial,Misuse services
81-2023.txt,Home,Misuse services
